Year,Firm_Name,Industry_Affected,AI_Used_for_Auditing,Total_Audit_Engagements,High_Risk_Cases,Compliance_Violations,Fraud_Cases_Detected,Employee_Workload,Audit_Effectiveness_Score,Client_Satisfaction_Score,Total_Revenue_Impact
2024,Ernst & Young,Tech,No,1825,377,31,80,74,6,9.5,"$193,070,000"
2021,Ernst & Young,Tech,No,1069,222,102,11,54,6.2,6.6,"$497,060,000"
2023,PwC,Healthcare,Yes,2283,58,103,82,59,6.7,5.6,"$168,150,000"
2024,Deloitte,Healthcare,No,4784,382,15,73,59,6.7,10,"$268,670,000"
2020,KPMG,Retail,No,2861,433,139,71,49,9.2,9,"$381,610,000"
2023,KPMG,Finance,Yes,3616,330,71,67,75,8.8,5.4,"$130,850,000"
2025,Ernst & Young,Finance,Yes,4452,345,38,82,78,9.6,7.4,"$291,770,000"
2021,PwC,Tech,Yes,1078,395,58,5,62,7.3,5.9,"$139,480,000"
2020,Ernst & Young,Tech,No,1286,391,47,60,48,6.5,5.9,"$85,460,000"
2024,PwC,Tech,No,1574,391,19,50,74,8.3,5.3,"$240,870,000"
2024,PwC,Retail,Yes,1076,86,67,17,62,7.9,9.9,"$206,470,000"
2021,Deloitte,Tech,No,3305,226,132,81,73,5.5,7.6,"$403,020,000"
2020,Deloitte,Healthcare,No,912,481,200,20,66,8.6,9.3,"$83,610,000"
2022,Ernst & Young,Retail,No,1516,242,134,37,79,5.6,6.5,"$339,080,000"
2022,KPMG,Tech,No,1012,302,124,35,73,7.7,5.3,"$276,300,000"
2023,KPMG,Retail,No,3230,290,121,91,59,7.2,9.1,"$435,760,000"
2021,KPMG,Retail,No,2503,425,45,62,69,7.4,6.5,"$228,150,000"
2020,PwC,Tech,No,4946,78,90,66,40,5.4,8.7,"$106,930,000"
2025,PwC,Tech,No,4606,221,158,90,45,7.6,6.1,"$382,670,000"
2025,PwC,Tech,Yes,1771,158,73,33,68,9.8,8.4,"$485,640,000"
2024,PwC,Finance,Yes,2676,176,36,82,56,9.5,7.9,"$362,310,000"
2022,Deloitte,Finance,Yes,962,356,155,21,60,9.1,5.9,"$54,070,000"
2020,Deloitte,Tech,No,1925,189,39,52,70,9.4,6.4,"$118,920,000"
2023,KPMG,Tech,Yes,2919,453,35,99,47,8,5.1,"$95,680,000"
2022,PwC,Retail,No,4595,481,173,54,48,8.6,6.5,"$454,650,000"
2021,Deloitte,Finance,No,797,133,46,27,77,6.3,8.6,"$474,320,000"
2023,Ernst & Young,Tech,No,4895,123,132,10,48,9.3,8.4,"$389,310,000"
2022,KPMG,Healthcare,Yes,4179,77,58,69,74,7.6,5.6,"$89,790,000"
2020,Ernst & Young,Tech,No,2119,112,153,59,42,8.4,9.3,"$182,060,000"
2021,Deloitte,Healthcare,No,3810,463,35,96,55,6.4,6.5,"$349,040,000"
2025,Deloitte,Finance,No,1896,110,151,14,74,8.7,7.1,"$456,080,000"
2021,PwC,Finance,Yes,4473,195,199,58,54,6.4,7.4,"$235,120,000"
